Question,LowerBound,UpperBound,Respondent,CodeName,Lowest,Highest,Best,Range,LowGood,HiGood,BestGood,Round2
1,0,1,PF,Steven,0.82,0.93,0.89,0.95,1,1,1,1
2,0,1,PF,Steven,0.14,0.3,0.22,0.95,1,1,1,1
3,0,1,PF,Steven,0.01,0.15,0.05,0.7,1,1,1,1
4,0,1,PF,Steven,0,0.01,0.005,0.9,1,1,1,1
5.1,0,9999999,PF,Steven,0.6,0.8,0.75,0.8,1,1,1,1
5.2,0,9999999,PF,Steven,0.7,0.8,0.78,0.6,1,1,1,1
5.3,0,9999999,PF,Steven,0.74,0.84,0.8,0.5,1,1,1,1
5.4,0,9999999,PF,Steven,0.4,0.7,0.65,0.6,1,1,1,1
6,0,9999999,PF,Steven,30000,100000,50000,0.8,1,1,1,1
7,0,9999999,PF,Steven,30000,100000,50000,0.8,1,1,1,1
8,0,1,PF,Steven,0.14,0.55,0.29,0.95,1,1,1,1
9,0,0.5,PF,Steven,0.1,0.25,0.125,0.5,1,1,1,1
10,0,0.25,PF,Steven,0.05,0.15,0.1,0.5,1,1,1,1
1,0,1,SO,Bruce,0.8,0.97,0.91,0.9,1,1,1,1
2,0,1,SO,Bruce,0.1,0.7,0.35,0.5,1,1,1,1
3,0,1,SO,Bruce,0,0.35,0.1,0.6,1,1,1,1
4,0,1,SO,Bruce,0,0.15,0.05,0.85,1,1,1,1
5.1,0,9999999,SO,Bruce,0.2,1,0.6,0.7,1,1,1,1
5.2,0,9999999,SO,Bruce,0.3,1.2,0.8,0.7,1,1,1,1
6,0,9999999,SO,Bruce,10000,50000,25000,0.5,1,1,1,1
7,0,9999999,SO,Bruce,5000,30000,15000,0.5,1,1,1,1
8,0,1,SO,Bruce,0.1,0.3,0.2,0.7,1,1,1,1
9,0,0.5,SO,Bruce,0.05,0.25,0.125,0.6,1,1,1,1
10,0,0.25,SO,Bruce,0.03,0.17,0.1,0.6,1,1,1,1
1,0,1,DR,Clarence,0.74,0.92,0.88,0.95,1,1,1,1
2,0,1,DR,Clarence,0.09,0.27,0.19,0.9,1,1,1,1
3,0,1,DR,Clarence,0.01,0.08,0.04,0.7,1,1,1,1
4,0,1,DR,Clarence,0,0.04,0.01,0.9,1,1,1,1
5.1,0,9999999,DR,Clarence,0.55,0.7,0.6,0.75,1,1,1,1
5.2,0,9999999,DR,Clarence,0.55,0.8,0.6,0.65,1,1,1,1
5.3,0,9999999,DR,Clarence,0.7,1,0.75,0.65,1,1,1,1
5.4,0,9999999,DR,Clarence,0.7,0.9,0.7,0.75,1,1,1,1
6,0,9999999,DR,Clarence,20000,80000,40000,0.9,1,1,1,1
7,0,9999999,DR,Clarence,10000,40000,20000,0.8,1,1,1,1
8,0,1,DR,Clarence,0.14,0.55,0.29,0.85,1,1,1,1
9,0,0.5,DR,Clarence,0.05,0.25,0.1,0.8,1,1,1,1
10,0,0.25,DR,Clarence,0.01,0.12,0.05,0.8,1,1,1,1
1,0,1,TA,Nils,0.78,0.95,0.9,0.9,1,1,1,0
2,0,1,TA,Nils,0.15,0.45,0.3,0.8,1,1,1,0
3,0,1,TA,Nils,0.05,0.8,0.4,0.8,1,1,1,0
4,0,1,TA,Nils,0.01,0.15,0.03,0.9,1,1,1,0
5.1,0,9999999,TA,Nils,0.5,0.8,0.7,0.6,1,1,1,0
5.2,0,9999999,TA,Nils,0.8,0.9,0.85,0.6,1,1,1,0
6,0,9999999,TA,Nils,15000,30000,20000,0.6,1,1,1,0
7,0,9999999,TA,Nils,7000,13000,9000,0.6,1,1,1,0
8,0,1,TA,Nils,0.2,0.6,0.35,0.8,1,1,1,0
9,0,0.5,TA,Nils,0.05,0.25,0.1,0.75,1,1,1,0
10,0,0.25,TA,Nils,0.03,0.12,0.07,0.75,1,1,1,0
1,0,1,DK,Max,0.87,0.94,0.9,0.9,1,1,1,1
2,0,1,DK,Max,0.25,0.85,0.65,0.9,1,1,1,1
3,0,1,DK,Max,0.02,0.25,0.05,0.6,1,1,1,1
4,0,1,DK,Max,0,0.1,0.01,0.9,1,1,1,1
5.1,0,9999999,DK,Max,0.4,0.75,0.6,0.8,1,1,1,1
5.2,0,9999999,DK,Max,0.3,0.75,0.6,0.8,1,1,1,1
6,0,9999999,DK,Max,15000,80000,40000,0.75,1,1,1,1
7,0,9999999,DK,Max,7000,40000,20000,0.7,1,1,1,1
8,0,1,DK,Max,0.15,0.45,0.35,0.85,1,1,1,1
9,0,0.5,DK,Max,0.05,0.3,0.2,0.85,1,1,1,1
10,0,0.25,DK,Max,0.025,0.1,0.05,0.85,1,1,1,1
1,0,1,HW,Danny,0.82,0.97,0.898,0.95,1,1,1,1
2,0,1,HW,Danny,0.14,0.7,0.387,0.9,1,1,1,1
3,0,1,HW,Danny,0.02,0.25,0.11,0.9,1,1,1,1
4,0,1,HW,Danny,0,0.1,0.018,0.85,1,1,1,1
5.1,0,9999999,HW,Danny,0.4,0.8,0.65,0.65,1,1,1,1
5.2,0,9999999,HW,Danny,0.5,0.8,0.65,0.65,1,1,1,1
6,0,9999999,HW,Danny,19000,57000,38000,0.7,1,1,1,1
7,0,9999999,HW,Danny,10000,30000,20000,0.7,1,1,1,1
8,0,1,HW,Danny,0.14,0.55,0.16,0.85,1,1,1,1
9,0,0.5,HW,Danny,0.05,0.3,0.15,0.85,1,1,1,1
10,0,0.25,HW,Danny,0.05,0.15,0.1,0.95,1,1,1,1
